Trial 1
Size 4
Steps,Average concealment,Prop. detected
1,0.1738,0.4706
2,0.1750,0.4706
3,0.1973,0.3824
4,0.1820,0.3235

Size 6
Steps,Average concealment,Prop. detected
1,0.2015,0.4118
2,0.2094,0.3529
3,0.2167,0.2059
4,0.2128,0.2941
5,0.2194,0.2059
6,0.2231,0.2353

Size 8
Steps,Average concealment,Prop. detected
1,0.1815,0.3043
2,0.1923,0.3478
3,0.1909,0.3478
4,0.1890,0.2826
5,0.2112,0.2391
6,0.2132,0.1739
7,0.2250,0.1957
8,0.2186,0.1522

Trial 2
Size 4
Steps,Average concealment,Prop. detected
1,0.1772,0.4118
2,0.1719,0.4706
3,0.1778,0.4706
4,0.1636,0.5294

Size 6
Steps,Average concealment,Prop. detected
1,0.1960,0.2941
2,0.2114,0.2647
3,0.2034,0.2647
4,0.2102,0.2941
5,0.2125,0.2059
6,0.2224,0.2059

Size 8
Steps,Average concealment,Prop. detected
1,0.1707,0.3478
2,0.1809,0.2826
3,0.1906,0.2391
4,0.2015,0.3043
5,0.1956,0.2391
6,0.2123,0.1957
7,0.2139,0.1957
8,0.2342,0.1522

Trial 3
Size 4
Steps,Average concealment,Prop. detected
1,0.1756,0.5294
2,0.1828,0.4412
3,0.1930,0.4118
4,0.1837,0.4706

Size 6
Steps,Average concealment,Prop. detected
1,0.1976,0.2941
2,0.2185,0.2647
3,0.2176,0.2647
4,0.2227,0.1765
5,0.2177,0.2647
6,0.2249,0.1765

Size 8
Steps,Average concealment,Prop. detected
1,0.1654,0.4348
2,0.1776,0.3478
3,0.1825,0.2609
4,0.1955,0.2609
5,0.1864,0.2391
6,0.2086,0.1957
7,0.2016,0.1739
8,0.2158,0.1957

Trial 4
Size 4
Steps,Average concealment,Prop. detected
1,0.1824,0.5000
2,0.1905,0.4118
3,0.1987,0.4118
4,0.1923,0.3824

Size 6
Steps,Average concealment,Prop. detected
1,0.2014,0.3529
2,0.2077,0.2647
3,0.2203,0.2353
4,0.2095,0.2353
5,0.1993,0.2353
6,0.2180,0.1765

Size 8
Steps,Average concealment,Prop. detected
1,0.1692,0.3696
2,0.1703,0.3913
3,0.1904,0.2826
4,0.1879,0.3478
5,0.1964,0.2826
6,0.1920,0.2609
7,0.2088,0.2174
8,0.2146,0.1739

Trial 5
Size 4
Steps,Average concealment,Prop. detected
1,0.1853,0.5000
2,0.1968,0.4118
3,0.1952,0.3235
4,0.1896,0.4118

Size 6
Steps,Average concealment,Prop. detected
1,0.1965,0.4412
2,0.1915,0.2941
3,0.1828,0.3824
4,0.1978,0.2941
5,0.1976,0.2647
6,0.2068,0.2941

Size 8
Steps,Average concealment,Prop. detected
1,0.1754,0.3043
2,0.1819,0.3478
3,0.2028,0.2174
4,0.1928,0.2391
5,0.2103,0.2174
6,0.2100,0.2826
7,0.2091,0.2609
8,0.2343,0.1522

