Trial 1
Size 4
Steps,Average concealment,Prop. detected
1,0.1921,0.2265
2,0.2016,0.1765
3,0.1995,0.2088
4,0.2009,0.2029

Size 6
Steps,Average concealment,Prop. detected
1,0.2134,0.2147
2,0.2175,0.1912
3,0.2229,0.1882
4,0.2222,0.1882
5,0.2271,0.1706
6,0.2345,0.1353

Size 8
Steps,Average concealment,Prop. detected
1,0.2161,0.1609
2,0.2255,0.1348
3,0.2259,0.1435
4,0.2380,0.1174
5,0.2429,0.0978
6,0.2445,0.0978
7,0.2514,0.0739
8,0.2463,0.0935

Trial 2
Size 4
Steps,Average concealment,Prop. detected
1,0.1935,0.2088
2,0.2020,0.2059
3,0.2025,0.1765
4,0.2069,0.2029

Size 6
Steps,Average concealment,Prop. detected
1,0.2115,0.1971
2,0.2162,0.2029
3,0.2177,0.1882
4,0.2255,0.1971
5,0.2274,0.1647
6,0.2307,0.1618

Size 8
Steps,Average concealment,Prop. detected
1,0.2203,0.1826
2,0.2236,0.1391
3,0.2306,0.1217
4,0.2331,0.1196
5,0.2367,0.1065
6,0.2438,0.0870
7,0.2366,0.0957
8,0.2439,0.0935

Trial 3
Size 4
Steps,Average concealment,Prop. detected
1,0.1955,0.1706
2,0.2015,0.1824
3,0.2015,0.1853
4,0.1987,0.1647

Size 6
Steps,Average concealment,Prop. detected
1,0.2136,0.1882
2,0.2124,0.1971
3,0.2236,0.1735
4,0.2279,0.1559
5,0.2284,0.1471
6,0.2294,0.1529

Size 8
Steps,Average concealment,Prop. detected
1,0.2193,0.1739
2,0.2193,0.1435
3,0.2259,0.1261
4,0.2286,0.0935
5,0.2363,0.0913
6,0.2411,0.1130
7,0.2405,0.0978
8,0.2473,0.0978

Trial 4
Size 4
Steps,Average concealment,Prop. detected
1,0.1954,0.1971
2,0.1973,0.1912
3,0.2061,0.1794
4,0.2034,0.1735

Size 6
Steps,Average concealment,Prop. detected
1,0.2066,0.1941
2,0.2171,0.2059
3,0.2173,0.1853
4,0.2309,0.1706
5,0.2296,0.1588
6,0.2342,0.1647

Size 8
Steps,Average concealment,Prop. detected
1,0.2126,0.1457
2,0.2212,0.1391
3,0.2231,0.1283
4,0.2378,0.1043
5,0.2410,0.1000
6,0.2428,0.1022
7,0.2444,0.1087
8,0.2437,0.0935

Trial 5
Size 4
Steps,Average concealment,Prop. detected
1,0.1918,0.2147
2,0.2030,0.2118
3,0.2045,0.1971
4,0.2052,0.1765

Size 6
Steps,Average concealment,Prop. detected
1,0.2163,0.1971
2,0.2181,0.1794
3,0.2239,0.1735
4,0.2273,0.1706
5,0.2279,0.1618
6,0.2270,0.1647

Size 8
Steps,Average concealment,Prop. detected
1,0.2187,0.1587
2,0.2197,0.1326
3,0.2273,0.1152
4,0.2280,0.1130
5,0.2309,0.1043
6,0.2435,0.1087
7,0.2418,0.1130
8,0.2423,0.0913

