Trial 1
583 482 862 553
Step 1
    Concealment,Detected
	0.1929,0
	0.3899,0
	0.2944,0
	0.3214,0
	0.1640,0
	0.1786,0
	0.2102,0
	0.0800,0
	0.2094,0
	0.1753,0
Step 2
    Concealment,Detected
	0.2679,0
	0.1837,0
	0.2344,0
	0.1301,0
	0.2204,0
	0.2662,0
	0.2091,0
	0.4103,0
	0.2165,0
	0.2100,0
Step 3
    Concealment,Detected
	0.1543,0
	0.2766,0
	0.3244,0
	0.2572,0
	0.2140,0
	0.2499,0
	0.1606,0
	0.1494,0
	0.1743,0
	0.1872,0
Step 4
    Concealment,Detected
	0.2244,0
	0.2218,0
	0.3950,0
	0.2912,0
	0.2277,0
	0.3286,0
	0.0833,0
	0.0866,1
	0.1742,0
	0.2445,0
521 598 482 862
Step 1
    Concealment,Detected
	0.2025,0
	0.2186,0
	0.0916,1
	0.2541,0
	0.2325,0
	0.1850,0
	0.2804,0
	0.2260,0
	0.1212,1
	0.2557,0
Step 2
    Concealment,Detected
	0.1854,0
	0.1855,0
	0.3482,0
	0.2753,0
	0.0692,1
	0.1791,0
	0.2142,0
	0.1882,0
	0.3176,0
	0.2091,0
Step 3
    Concealment,Detected
	0.1194,0
	0.3014,0
	0.0876,1
	0.2489,0
	0.2969,0
	0.1345,0
	0.2619,0
	0.2606,0
	0.2547,0
	0.1668,0
Step 4
    Concealment,Detected
	0.1836,0
	0.2270,0
	0.2008,0
	0.1565,0
	0.2422,0
	0.4408,0
	0.2089,0
	0.1687,0
	0.3230,0
	0.2547,0
557 78 79 811
Step 1
    Concealment,Detected
	0.1888,0
	0.2692,0
	0.2233,0
	0.0860,1
	0.3018,0
	0.1776,0
	0.2096,0
	0.2189,0
	0.2246,0
	0.2075,0
Step 2
    Concealment,Detected
	0.2716,0
	0.1436,0
	0.1615,0
	0.1633,0
	0.2081,0
	0.2595,0
	0.2601,0
	0.1968,0
	0.1191,1
	0.1969,0
Step 3
    Concealment,Detected
	0.1700,0
	0.1897,0
	0.0906,1
	0.3230,0
	0.2540,0
	0.2325,0
	0.2036,0
	0.2198,0
	0.2264,0
	0.2045,0
Step 4
    Concealment,Detected
	0.2697,0
	0.1699,0
	0.2158,0
	0.1828,0
	0.2055,0
	0.1615,0
	0.1711,0
	0.2947,0
	0.1990,0
	0.1699,0
77 79 78 445
Step 1
    Concealment,Detected
	0.0850,1
	0.1787,0
	0.2330,0
	0.3240,0
	0.3051,0
	0.2575,0
	0.2036,0
	0.1457,0
	0.1222,1
	0.1699,0
Step 2
    Concealment,Detected
	0.2741,0
	0.2455,0
	0.1739,0
	0.2271,0
	0.2061,0
	0.2340,0
	0.2256,0
	0.2315,0
	0.2478,0
	0.2371,0
Step 3
    Concealment,Detected
	0.2598,0
	0.1819,0
	0.1895,0
	0.3179,0
	0.3864,0
	0.2917,0
	0.2157,0
	0.2032,0
	0.1817,0
	0.1975,0
Step 4
    Concealment,Detected
	0.2096,0
	0.2436,0
	0.2136,0
	0.1422,0
	0.0983,1
	0.2422,0
	0.2295,0
	0.2809,0
	0.2853,0
	0.2072,0
96 806 369 252
Step 1
    Concealment,Detected
	0.1447,0
	0.1136,0
	0.1228,0
	0.1879,0
	0.1360,0
	0.2430,0
	0.1172,0
	0.1215,0
	0.1480,0
	0.1492,0
Step 2
    Concealment,Detected
	0.1291,0
	0.1248,0
	0.1355,0
	0.1930,0
	0.3286,0
	0.1136,0
	0.0708,1
	0.2148,0
	0.1536,0
	0.1796,0
Step 3
    Concealment,Detected
	0.1355,0
	0.1441,0
	0.1604,0
	0.1197,0
	0.1332,0
	0.1447,0
	0.1403,0
	0.1278,0
	0.1261,0
	0.1416,0
Step 4
    Concealment,Detected
	0.1378,0
	0.1503,0
	0.1515,0
	0.1250,0
	0.1490,0
	0.1538,0
	0.1503,0
	0.1408,0
	0.1299,0
	0.1518,0
304 252 369 89
Step 1
    Concealment,Detected
	0.0703,1
	0.0657,1
	0.0667,1
	0.0677,1
	0.0723,1
	0.0530,1
	0.0596,1
	0.0733,1
	0.0692,1
	0.0708,1
Step 2
    Concealment,Detected
	0.0692,1
	0.0743,1
	0.1309,0
	0.0672,1
	0.0779,1
	0.0853,0
	0.0642,1
	0.1294,0
	0.0611,1
	0.1655,0
Step 3
    Concealment,Detected
	0.1375,0
	0.0718,1
	0.0540,1
	0.0514,1
